Local time,Open,High,Low,Close,Volume
06.03.2004 06:00:00.000 GMT+0800,1.23642,1.23642,1.23642,1.23642,0
07.03.2004 06:00:00.000 GMT+0800,1.23642,1.23642,1.23642,1.23642,0
08.03.2004 06:00:00.000 GMT+0800,1.23857,1.24150,1.23359,1.24013,1360393097656.25
09.03.2004 06:00:00.000 GMT+0800,1.24020,1.24573,1.22716,1.23240,1358591404296.875
10.03.2004 06:00:00.000 GMT+0800,1.23226,1.23282,1.21946,1.22205,1354605701171.875
11.03.2004 06:00:00.000 GMT+0800,1.22200,1.23831,1.21620,1.23484,1356982208984.375
12.03.2004 06:00:00.000 GMT+0800,1.23481,1.23709,1.21707,1.22145,1347175406250
13.03.2004 06:00:00.000 GMT+0800,1.22145,1.22145,1.22145,1.22145,0
14.03.2004 06:00:00.000 GMT+0800,1.22145,1.22145,1.22145,1.22145,0
15.03.2004 06:00:00.000 GMT+0800,1.21887,1.23154,1.21815,1.22600,1357924205078.125
16.03.2004 06:00:00.000 GMT+0800,1.22606,1.23695,1.22295,1.22693,1360225974609.375
17.03.2004 06:00:00.000 GMT+0800,1.22709,1.22870,1.21730,1.22316,1338080804687.5
18.03.2004 06:00:00.000 GMT+0800,1.22310,1.24315,1.22182,1.23833,1354175818359.375
19.03.2004 06:00:00.000 GMT+0800,1.23837,1.24058,1.22540,1.22829,1350261304687.5
20.03.2004 06:00:00.000 GMT+0800,1.22829,1.22829,1.22829,1.22829,0
21.03.2004 06:00:00.000 GMT+0800,1.22829,1.22829,1.22829,1.22829,0
22.03.2004 06:00:00.000 GMT+0800,1.22754,1.23983,1.22189,1.23273,1360833281250
23.03.2004 06:00:00.000 GMT+0800,1.23289,1.23678,1.22628,1.23325,1361277207031.25
24.03.2004 06:00:00.000 GMT+0800,1.23354,1.23653,1.21133,1.21297,1362066298828.125
25.03.2004 06:00:00.000 GMT+0800,1.21322,1.21987,1.20962,1.21235,1366087691406.25
26.03.2004 06:00:00.000 GMT+0800,1.21260,1.22083,1.20733,1.21272,1367063093750
27.03.2004 06:00:00.000 GMT+0800,1.21272,1.21272,1.21272,1.21272,0
28.03.2004 06:00:00.000 GMT+0800,1.21272,1.21272,1.21272,1.21272,0
29.03.2004 06:00:00.000 GMT+0800,1.21078,1.21668,1.20559,1.21538,1350568701171.875
30.03.2004 06:00:00.000 GMT+0800,1.21544,1.22263,1.21474,1.21678,1306805076171.875
31.03.2004 06:00:00.000 GMT+0800,1.21706,1.23203,1.21668,1.23114,1357518498046.875
01.04.2004 06:00:00.000 GMT+0800,1.23130,1.23862,1.22532,1.23617,1367239009765.625
02.04.2004 06:00:00.000 GMT+0800,1.23602,1.23712,1.20978,1.21305,1355062113281.25
03.04.2004 06:00:00.000 GMT+0800,1.21305,1.21305,1.21305,1.21305,0
04.04.2004 06:00:00.000 GMT+0800,1.21305,1.21305,1.21305,1.21305,0
05.04.2004 05:00:00.000 GMT+0800,1.21076,1.21263,1.19808,1.20149,1374654185546.875
06.04.2004 05:00:00.000 GMT+0800,1.20118,1.21335,1.19802,1.21136,1362593093750
07.04.2004 05:00:00.000 GMT+0800,1.21096,1.21966,1.20472,1.21712,1358019500000
08.04.2004 05:00:00.000 GMT+0800,1.21684,1.22166,1.20574,1.20823,1362116394531.25
09.04.2004 05:00:00.000 GMT+0800,1.20795,1.21104,1.20607,1.20858,1279444707031.25
10.04.2004 05:00:00.000 GMT+0800,1.20858,1.20858,1.20858,1.20858,0
11.04.2004 05:00:00.000 GMT+0800,1.20858,1.20858,1.20858,1.20858,0
12.04.2004 05:00:00.000 GMT+0800,1.20857,1.20956,1.20490,1.20730,1322737888671.875
13.04.2004 05:00:00.000 GMT+0800,1.20734,1.20821,1.19021,1.19424,1332390697265.625
14.04.2004 05:00:00.000 GMT+0800,1.19400,1.19739,1.18678,1.19594,1373773605468.75
15.04.2004 05:00:00.000 GMT+0800,1.19547,1.19920,1.18910,1.19816,1373514007812.5
16.04.2004 05:00:00.000 GMT+0800,1.19780,1.20442,1.19210,1.19886,1369769994140.625
17.04.2004 05:00:00.000 GMT+0800,1.19886,1.19886,1.19886,1.19886,0
18.04.2004 05:00:00.000 GMT+0800,1.19886,1.19886,1.19886,1.19886,0
19.04.2004 05:00:00.000 GMT+0800,1.19989,1.20756,1.19980,1.20204,1352776888671.875
20.04.2004 05:00:00.000 GMT+0800,1.20175,1.20215,1.18394,1.18647,1361049398437.5
21.04.2004 05:00:00.000 GMT+0800,1.18621,1.19111,1.18140,1.18377,1361827125000
22.04.2004 05:00:00.000 GMT+0800,1.18341,1.19133,1.17758,1.19002,1363759074218.75
23.04.2004 05:00:00.000 GMT+0800,1.18985,1.19401,1.17935,1.18415,1350705187500
